Program Version:,EnergyPlus, Version 25.1.0-c4ec94aef2, YMD=2025.07.02 12:31
Tabular Output Report in Format: ,Comma

Building:,Building 1
Environment:,CEA_DENVER_0509 (01-01:31-12) ** Denver Intl Ap CO USA TMY3 WMO#=725650

----------------------------------------------------------------------------------------------------
REPORT:,Annual Building Utility Performance Summary
FOR:,Entire Facility
Values gathered over      8760.00 hours

Site and Source Energy

,,Total Energy [GJ],Energy Per Total Building Area [MJ/m2],Energy Per Conditioned Building Area [MJ/m2]
,Total Site Energy,25586.46,7195.30,7776.23
,Net Site Energy,25586.46,7195.30,7776.23
,Total Source Energy,81032.33,22787.53,24627.31
,Net Source Energy,81032.33,22787.53,24627.31


Site to Source Energy Conversion Factors

,,Site=>Source Conversion Factor
,Electricity,3.167
,Natural Gas,1.084
,District Cooling,1.056
,District Heating Water,3.613
,District Heating Steam,1.200
,Gasoline,1.050
,Diesel,1.050
,Coal,1.050
,Fuel Oil No 1,1.050
,Fuel Oil No 2,1.050
,Propane,1.050
,Other Fuel 1,1.000
,Other Fuel 2,1.000


Building Area

,,Area [m2]
,Total Building Area,3555.99
,Net Conditioned Building Area,3290.34
,Unconditioned Building Area,265.65


End Uses

,,Electricity [GJ],Natural Gas [GJ],Gasoline [GJ],Diesel [GJ],Coal [GJ],Fuel Oil No 1 [GJ],Fuel Oil No 2 [GJ],Propane [GJ],Other Fuel 1 [GJ],Other Fuel 2 [GJ],District Cooling [GJ],District Heating Water [GJ],District Heating Steam [GJ],Water [m3]
,Heating,140.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Cooling,3438.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Lighting,17198.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Lighting,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Equipment,714.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Equipment,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Fans,3444.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Pumps,600.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Rejection,49.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10303.03
,Humidification,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Recovery,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Water Systems,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Refrigeration,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Generators,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,,,
,Total End Uses,25586.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10303.03
Note: Electricity appears to be the principal heating source based on energy usage.


End Uses By Subcategory

,,Subcategory,Electricity [GJ],Natural Gas [GJ],Gasoline [GJ],Diesel [GJ],Coal [GJ],Fuel Oil No 1 [GJ],Fuel Oil No 2 [GJ],Propane [GJ],Other Fuel 1 [GJ],Other Fuel 2 [GJ],District Cooling [GJ],District Heating Water [GJ],District Heating Steam [GJ],Water [m3]
,,IndoorLivingWall,16577.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Lighting,General,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Equipment,General,714.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Equipment,General,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Fans,General,3444.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Pumps,General,600.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Rejection,General,49.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10303.03
,Humidification,General,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Recovery,General,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Water Systems,General,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Refrigeration,General,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Generators,General,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00


End Uses By Space Type

,,Space Type,Electricity [GJ],Natural Gas [GJ],Gasoline [GJ],Diesel [GJ],Coal [GJ],Fuel Oil No 1 [GJ],Fuel Oil No 2 [GJ],Propane [GJ],Other Fuel 1 [GJ],Other Fuel 2 [GJ],District Cooling [GJ],District Heating Water [GJ],District Heating Steam [GJ],Water [m3]
,Heating,Unassigned,140.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Cooling,Unassigned,3438.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Lighting,GENERAL,17198.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Lighting,Unassigned,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Equipment,GENERAL,714.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Equipment,Unassigned,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Fans,Unassigned,3444.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Pumps,Unassigned,600.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Rejection,Unassigned,49.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10303.03
,Humidification,Unassigned,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Recovery,Unassigned,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Water Systems,Unassigned,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Refrigeration,Unassigned,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Generators,Unassigned,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00


Normalized Metrics
Utility Use Per Conditioned Floor Area

,,Electricity Intensity [MJ/m2],Natural Gas Intensity [MJ/m2],Gasoline Intensity [MJ/m2],Diesel Intensity [MJ/m2],Coal Intensity [MJ/m2],Fuel Oil No 1 Intensity [MJ/m2],Fuel Oil No 2 Intensity [MJ/m2],Propane Intensity [MJ/m2],Other Fuel 1 Intensity [MJ/m2],Other Fuel 2 Intensity [MJ/m2],District Cooling Intensity [MJ/m2],District Heating Water Intensity [MJ/m2],District Heating Steam Intensity [MJ/m2],Water Intensity [m3/m2]
,Lighting,5226.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,HVAC,2332.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.13
,Other,217.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Total,7776.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.13


Utility Use Per Total Floor Area

,,Electricity Intensity [MJ/m2],Natural Gas Intensity [MJ/m2],Gasoline Intensity [MJ/m2],Diesel Intensity [MJ/m2],Coal Intensity [MJ/m2],Fuel Oil No 1 Intensity [MJ/m2],Fuel Oil No 2 Intensity [MJ/m2],Propane Intensity [MJ/m2],Other Fuel 1 Intensity [MJ/m2],Other Fuel 2 Intensity [MJ/m2],District Cooling Intensity [MJ/m2],District Heating Water Intensity [MJ/m2],District Heating Steam Intensity [MJ/m2],Water Intensity [m3/m2]
,Lighting,4836.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,HVAC,2157.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,Other,201.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,Total,7195.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,


Electric Loads Satisfied

,,Electricity [GJ],Percent Electricity [%]
,Fuel-Fired Power Generation,0.000,0.00
,High Temperature Geothermal*,0.000,0.00
,Photovoltaic Power,0.000,0.00
,Wind Power,0.000,0.00
,Power Conversion,0.000,0.00
,Net Decrease in On-Site Storage,0.000,0.00
,Total On-Site Electric Sources,0.000,0.00
,,,
,Electricity Coming From Utility,25586.462,100.00
,Surplus Electricity Going To Utility,0.000,0.00
,Net Electricity From Utility,25586.462,100.00
,,,
,Total On-Site and Utility Electric Sources,25586.462,100.00
,Total Electricity End Uses,25586.462,100.00


On-Site Thermal Sources

,,Heat [GJ],Percent Heat [%]
,Water-Side Heat Recovery,0.00,
,Air to Air Heat Recovery for Cooling,0.00,
,Air to Air Heat Recovery for Heating,0.00,
,High-Temperature Geothermal*,0.00,
,Solar Water Thermal,0.00,
,Solar Air Thermal,0.00,
,Total On-Site Thermal Sources,0.00,


Water Source Summary

,,Water [m3],Percent Water [%]
,Rainwater Collection,0.00,0.00
,Condensate Collection,0.00,0.00
,Groundwater Well,0.00,0.00
,Total On Site Water Sources,0.00,0.00
,-,-,-
,Initial Storage,0.00,0.00
,Final Storage,0.00,0.00
,Change in Storage,0.00,0.00
,-,-,-
,Water Supplied by Utility,10303.03,100.00
,-,-,-
,Total On Site, Change in Storage, and Utility Water Sources,10303.03,100.00
,Total Water End Uses,10303.03,100.00


Setpoint Not Met Criteria

,,Degrees [deltaC]
,Tolerance for Zone Heating Setpoint Not Met Time,1.11
,Tolerance for Zone Cooling Setpoint Not Met Time,1.11


Comfort and Setpoint Not Met Summary

,,Facility [Hours]
,Time Setpoint Not Met During Occupied Heating,366.00
,Time Setpoint Not Met During Occupied Cooling,0.00
,Time Not Comfortable Based on Simple ASHRAE 55-2004,5270.00


Note 1: An asterisk (*) indicates that the feature is not yet implemented.
----------------------------------------------------------------------------------------------------
REPORT:,Input Verification and Results Summary
FOR:,Entire Facility
General

,,Value
,Program Version and Build,EnergyPlus, Version 25.1.0-c4ec94aef2, YMD=2025.07.02 12:31
,RunPeriod,CEA_DENVER_0509 (01-01:31-12)
,Weather File,Denver Intl Ap CO USA TMY3 WMO#=725650
,Latitude [deg],39.83
,Longitude [deg],-104.7
,Elevation [m],1650.00
,Time Zone,-7.0
,North Axis Angle [deg],0.00
,Rotation for Appendix G [deg],0.00
,Hours Simulated [hrs],8760.00


ENVELOPE
Window-Wall Ratio

,,Total,North (315 to 45 deg),East (45 to 135 deg),South (135 to 225 deg),West (225 to 315 deg)
,Gross Wall Area [m2],1877.11,537.10,401.45,537.10,401.45
,Above Ground Wall Area [m2],1852.84,528.43,397.99,528.43,397.99
,Window Opening Area [m2],26.01,0.00,3.72,11.15,11.15
,Gross Window-Wall Ratio [%],1.39,0.00,0.93,2.08,2.78
,Above Ground Window-Wall Ratio [%],1.40,0.00,0.93,2.11,2.80


Conditioned Window-Wall Ratio

,,Total,North (315 to 45 deg),East (45 to 135 deg),South (135 to 225 deg),West (225 to 315 deg)
,Gross Wall Area [m2],1160.76,395.22,337.05,371.63,56.86
,Above Ground Wall Area [m2],1160.76,395.22,337.05,371.63,56.86
,Window Opening Area [m2],26.01,0.00,3.72,11.15,11.15
,Gross Window-Wall Ratio [%],2.24,0.00,1.10,3.00,19.61
,Above Ground Window-Wall Ratio [%],2.24,0.00,1.10,3.00,19.61


Skylight-Roof Ratio

,,Total
,Gross Roof Area [m2],1686.72
,Skylight Area [m2],0.00
,Skylight-Roof Ratio [%],0.00


PERFORMANCE
Zone Summary

,,Area [m2],Conditioned (Y/N),Part of Total Floor Area (Y/N),Volume [m3],Multipliers,Above Ground Gross Wall Area [m2],Underground Gross Wall Area [m2],Window Glass Area [m2],Opening Area [m2],Lighting [W/m2],People [m2 per person],Plug and Process [W/m2]
,MECH:MECH,56.88,No,Yes,208.05,1.00,19.32,0.00,0.00,0.00,15.0000,9.01,11.7700
,ELEVATOR:ELEVATOR,18.18,No,Yes,221.64,1.00,93.62,24.27,0.00,0.00,15.0000,9.01,11.7700
,STAIRS1:STAIRS1,6.39,No,Yes,70.11,1.00,88.06,0.00,0.00,0.00,15.0000,9.01,11.7700
,GA3F:GA3F,950.66,Yes,Yes,3332.24,1.00,324.43,0.00,0.00,0.00,15.0000,977.83,11.7700
,GA2F:GA2F,950.66,Yes,Yes,3332.24,1.00,324.43,0.00,0.00,0.00,15.0000,977.83,11.7700
,GA1F:GA1F,951.58,Yes,Yes,3480.48,1.00,286.52,0.00,0.00,0.00,15.0000,977.83,11.7700
,STAIRS2:STAIRS2,7.14,No,Yes,78.35,1.00,88.06,0.00,0.00,0.00,15.0000,9.01,11.7700
,MECHSHAFT:MECHSHAFT,177.06,No,Yes,1942.85,1.00,403.01,0.00,0.00,0.00,15.0000,9.01,11.7700
,GERMINATION:GERMINATION,52.45,Yes,Yes,191.85,1.00,0.00,0.00,0.00,0.00,15.0000,977.83,11.7700
,NGA:LUNCH,18.14,Yes,Yes,66.35,1.00,32.11,0.00,6.58,7.43,15.0000,9.01,11.7700
,NGA:MENS,18.59,Yes,Yes,68.00,1.00,15.39,0.00,0.00,0.00,15.0000,9.01,11.7700
,NGA:WOMENS,18.59,Yes,Yes,68.00,1.00,15.39,0.00,0.00,0.00,15.0000,9.01,11.7700
,NGA:STORAGE,18.59,Yes,Yes,68.00,1.00,15.39,0.00,0.00,0.00,15.0000,9.01,11.7700
,NGA:OFFICE,18.59,Yes,Yes,68.00,1.00,15.39,0.00,3.29,3.72,15.0000,9.01,11.7700
,NGA:SERVICE,18.14,Yes,Yes,66.35,1.00,32.11,0.00,6.58,7.43,15.0000,9.01,11.7700
,NGA:TRANSPLANT,51.65,Yes,Yes,188.92,1.00,28.99,0.00,6.58,7.43,15.0000,9.01,11.7700
,NGA:CAS,196.60,Yes,Yes,719.09,1.00,57.22,0.00,0.00,0.00,15.0000,9.01,11.7700
,NGA:CLEANING,26.11,Yes,Yes,95.50,1.00,13.38,0.00,0.00,0.00,15.0000,9.01,11.7700
,Total,3555.99,,,14265.99,,1852.84,24.27,23.03,26.01,15.0000,47.29,11.7700
,Conditioned Total,3290.34,,,11745.00,,1160.76,0.00,23.03,26.01,15.0000,71.99,11.7700
,Unconditioned Total,265.65,,,2520.99,,692.08,24.27,0.00,0.00,15.0000,9.01,11.7700
,Not Part of Total,0.00,,,0.00,,0.00,0.00,0.00,0.00,,,


Space Summary

,,Area [m2],Conditioned (Y/N),Part of Total Floor Area (Y/N),Multipliers,Zone Name,Space Type,Radiant/Solar Enclosure Name,Lighting [W/m2],People [m2 per person],Plug and Process [W/m2],Tags
,MECH:MECH,56.88,No,Yes,1.00,MECH:MECH,GENERAL,MECH:MECH,15.0000,9.01,11.7700,
,ELEVATOR:ELEVATOR,18.18,No,Yes,1.00,ELEVATOR:ELEVATOR,GENERAL,ELEVATOR:ELEVATOR,15.0000,9.01,11.7700,
,STAIRS1:STAIRS1,6.39,No,Yes,1.00,STAIRS1:STAIRS1,GENERAL,STAIRS1:STAIRS1,15.0000,9.01,11.7700,
,GA3F:GA3F,950.66,Yes,Yes,1.00,GA3F:GA3F,GENERAL,GA3F:GA3F,15.0000,977.83,11.7700,
,GA2F:GA2F,950.66,Yes,Yes,1.00,GA2F:GA2F,GENERAL,GA2F:GA2F,15.0000,977.83,11.7700,
,GA1F:GA1F,951.58,Yes,Yes,1.00,GA1F:GA1F,GENERAL,GA1F:GA1F,15.0000,977.83,11.7700,
,STAIRS2:STAIRS2,7.14,No,Yes,1.00,STAIRS2:STAIRS2,GENERAL,STAIRS2:STAIRS2,15.0000,9.01,11.7700,
,MECHSHAFT:MECHSHAFT,177.06,No,Yes,1.00,MECHSHAFT:MECHSHAFT,GENERAL,MECHSHAFT:MECHSHAFT,15.0000,9.01,11.7700,
,GERMINATION:GERMINATION,52.45,Yes,Yes,1.00,GERMINATION:GERMINATION,GENERAL,GERMINATION:GERMINATION,15.0000,977.83,11.7700,
,NGA:LUNCH,18.14,Yes,Yes,1.00,NGA:LUNCH,GENERAL,NGA:LUNCH,15.0000,9.01,11.7700,
,NGA:MENS,18.59,Yes,Yes,1.00,NGA:MENS,GENERAL,NGA:MENS,15.0000,9.01,11.7700,
,NGA:WOMENS,18.59,Yes,Yes,1.00,NGA:WOMENS,GENERAL,NGA:WOMENS,15.0000,9.01,11.7700,
,NGA:STORAGE,18.59,Yes,Yes,1.00,NGA:STORAGE,GENERAL,NGA:STORAGE,15.0000,9.01,11.7700,
,NGA:OFFICE,18.59,Yes,Yes,1.00,NGA:OFFICE,GENERAL,NGA:OFFICE,15.0000,9.01,11.7700,
,NGA:SERVICE,18.14,Yes,Yes,1.00,NGA:SERVICE,GENERAL,NGA:SERVICE,15.0000,9.01,11.7700,
,NGA:TRANSPLANT,51.65,Yes,Yes,1.00,NGA:TRANSPLANT,GENERAL,NGA:TRANSPLANT,15.0000,9.01,11.7700,
,NGA:CAS,196.60,Yes,Yes,1.00,NGA:CAS,GENERAL,NGA:CAS,15.0000,9.01,11.7700,
,NGA:CLEANING,26.11,Yes,Yes,1.00,NGA:CLEANING,GENERAL,NGA:CLEANING,15.0000,9.01,11.7700,
,Total,3555.99,,,,,,,15.0000,47.29,11.7700,
,Conditioned Total,3290.34,,,,,,,15.0000,71.99,11.7700,
,Unconditioned Total,265.65,,,,,,,15.0000,9.01,11.7700,
,Not Part of Total,0.00,,,,,,,0.0000,0.00,0.0000,


Space Type Summary

,,Total Area [m2],Conditioned Area [m2],Unconditioned Area [m2],Not Part of Total Area [m2],Lighting [W/m2],People [m2 per person],Plug and Process [W/m2]
,GENERAL,3555.99,3290.34,265.65,0.00,15.0000,47.29,11.7700
,Total,3555.99,3290.34,265.65,0.00,,,


----------------------------------------------------------------------------------------------------
REPORT:,Demand End Use Components Summary
FOR:,Entire Facility
End Uses

,,Electricity [W],Natural Gas [W],Gasoline [W],Diesel [W],Coal [W],Fuel Oil No 1 [W],Fuel Oil No 2 [W],Propane [W],Other Fuel 1 [W],Other Fuel 2 [W],District Cooling [W],District Heating Water [W],District Heating Steam [W],Water [m3/s]
,Time of Peak,20-JUL-16:00,-,-,-,-,-,-,-,-,-,-,-,-,26-JUN-16:00
